ID,Class Label,Predicted_Class_Label
153.bmp,11,11
154.bmp,12,12
155.bmp,14,14
156.bmp,15,15
157.bmp,16,16
158.bmp,17,17
159.bmp,19,19
160.bmp,20,20
161.bmp,2,2
162.bmp,3,3
163.bmp,4,4
164.bmp,5,5
165.bmp,6,6
166.bmp,7,7
167.bmp,9,9
168.bmp,10,11
169.bmp,11,11
170.bmp,12,12
171.bmp,14,14
172.bmp,15,15
173.bmp,16,16
174.bmp,17,17
175.bmp,19,19
176.bmp,20,20
177.bmp,2,2
178.bmp,3,3
179.bmp,4,4
180.bmp,5,5
181.bmp,6,6
182.bmp,7,7
183.bmp,9,9
184.bmp,10,10
185.bmp,11,11
186.bmp,12,12
187.bmp,14,14
188.bmp,15,15
189.bmp,16,16
190.bmp,17,17
191.bmp,19,19
192.bmp,20,20
193.bmp,2,2
194.bmp,3,3
195.bmp,4,4
196.bmp,5,5
197.bmp,6,6
198.bmp,7,7
199.bmp,9,9
200.bmp,10,10
201.bmp,11,11
202.bmp,12,12
203.bmp,14,14
204.bmp,15,15
205.bmp,16,16
206.bmp,17,17
207.bmp,19,19
208.bmp,20,20
209.bmp,2,2
210.bmp,3,3
211.bmp,4,4
212.bmp,5,5
213.bmp,6,6
214.bmp,7,7
215.bmp,9,9
216.bmp,10,10
217.bmp,11,11
218.bmp,12,12
219.bmp,14,14
220.bmp,15,15
221.bmp,16,16
222.bmp,17,17
223.bmp,19,19
224.bmp,20,20
225.bmp,2,2
226.bmp,3,3
227.bmp,4,4
228.bmp,5,5
229.bmp,6,6
230.bmp,7,7
231.bmp,9,9
232.bmp,10,10
233.bmp,11,11
234.bmp,12,12
235.bmp,14,14
236.bmp,15,15
237.bmp,16,16
238.bmp,17,17
239.bmp,19,19
240.bmp,20,20
241.bmp,2,2
242.bmp,3,3
243.bmp,4,4
244.bmp,5,5
245.bmp,6,6
246.bmp,7,7
247.bmp,9,9
248.bmp,10,10
249.bmp,11,11
250.bmp,12,12
251.bmp,14,14
252.bmp,15,15
253.bmp,16,16
254.bmp,17,17
255.bmp,19,19
256.bmp,20,20
257.bmp,2,2
258.bmp,3,3
259.bmp,4,4
260.bmp,5,5
261.bmp,6,6
262.bmp,7,0
263.bmp,9,9
264.bmp,10,10
265.bmp,11,10
266.bmp,12,12
267.bmp,14,14
268.bmp,15,15
269.bmp,16,16
270.bmp,17,17
271.bmp,19,19
272.bmp,20,20
273.bmp,2,2
274.bmp,3,3
275.bmp,4,4
276.bmp,5,5
277.bmp,6,6
278.bmp,7,153
279.bmp,9,9
280.bmp,10,10
281.bmp,11,11
282.bmp,12,12
283.bmp,14,14
284.bmp,15,15
285.bmp,16,16
286.bmp,17,17
287.bmp,19,19
288.bmp,20,20
289.bmp,2,2
290.bmp,3,3
291.bmp,4,4
292.bmp,5,5
293.bmp,6,6
294.bmp,7,7
295.bmp,9,9
296.bmp,10,10
297.bmp,11,11
298.bmp,12,12
299.bmp,14,14
300.bmp,15,15
301.bmp,16,16
302.bmp,17,23
303.bmp,19,19
304.bmp,20,20
305.bmp,2,2
306.bmp,3,3
307.bmp,4,4
308.bmp,5,5
309.bmp,6,6
310.bmp,9,9
311.bmp,10,10
312.bmp,11,11
313.bmp,12,12
314.bmp,14,14
315.bmp,15,15
316.bmp,16,16
317.bmp,17,17
318.bmp,19,19
319.bmp,20,20
320.bmp,2,2
321.bmp,3,3
322.bmp,4,4
323.bmp,5,5
324.bmp,6,6
325.bmp,9,9
326.bmp,10,10
327.bmp,11,11
328.bmp,12,12
329.bmp,14,14
330.bmp,15,15
331.bmp,16,16
332.bmp,17,17
333.bmp,19,19
334.bmp,20,20
335.bmp,2,2
336.bmp,3,3
337.bmp,4,4
338.bmp,5,5
339.bmp,6,6
340.bmp,9,148
341.bmp,10,10
342.bmp,11,11
343.bmp,12,12
344.bmp,13,13
345.bmp,14,14
346.bmp,15,15
347.bmp,16,16
348.bmp,17,17
349.bmp,19,19
350.bmp,20,20
351.bmp,2,2
352.bmp,3,3
353.bmp,4,4
354.bmp,5,5
355.bmp,6,6
356.bmp,9,9
357.bmp,10,11
358.bmp,11,11
359.bmp,12,12
360.bmp,13,13
361.bmp,14,14
362.bmp,15,15
363.bmp,16,16
364.bmp,17,17
365.bmp,19,19
366.bmp,20,20
367.bmp,2,2
368.bmp,3,3
369.bmp,4,4
370.bmp,5,5
371.bmp,6,6
372.bmp,9,9
373.bmp,10,10
374.bmp,11,11
375.bmp,12,12
376.bmp,13,13
377.bmp,14,14
378.bmp,15,15
379.bmp,16,16
380.bmp,17,17
381.bmp,19,19
382.bmp,20,20
383.bmp,2,2
384.bmp,3,3
385.bmp,4,4
386.bmp,5,5
387.bmp,6,6
388.bmp,9,9
389.bmp,10,10
390.bmp,11,11
391.bmp,12,12
392.bmp,13,13
393.bmp,14,14
394.bmp,15,15
395.bmp,16,16
396.bmp,17,17
397.bmp,19,19
398.bmp,20,20
399.bmp,2,2
400.bmp,3,3
401.bmp,4,4
402.bmp,5,5
403.bmp,6,6
404.bmp,9,9
405.bmp,10,11
406.bmp,11,11
407.bmp,12,12
408.bmp,13,13
409.bmp,14,14
410.bmp,15,15
411.bmp,16,22
412.bmp,17,17
413.bmp,19,19
414.bmp,20,20
415.bmp,2,2
416.bmp,3,3
417.bmp,4,4
418.bmp,5,5
419.bmp,6,6
420.bmp,9,9
421.bmp,10,10
422.bmp,11,11
423.bmp,12,12
424.bmp,13,13
425.bmp,14,14
426.bmp,15,15
427.bmp,16,16
428.bmp,17,17
429.bmp,19,19
430.bmp,20,20
431.bmp,2,2
432.bmp,3,3
433.bmp,4,4
434.bmp,5,5
435.bmp,6,6
436.bmp,9,9
437.bmp,10,10
438.bmp,11,11
439.bmp,12,12
440.bmp,13,13
441.bmp,14,14
442.bmp,15,15
443.bmp,16,16
444.bmp,17,17
445.bmp,19,19
446.bmp,20,20
447.bmp,2,2
448.bmp,3,3
449.bmp,4,4
450.bmp,5,5
451.bmp,6,6
452.bmp,9,9
453.bmp,10,10
454.bmp,11,11
455.bmp,12,12
456.bmp,13,13
457.bmp,14,14
458.bmp,15,15
459.bmp,16,16
460.bmp,17,17
461.bmp,19,19
462.bmp,20,20
463.bmp,2,2
464.bmp,3,3
465.bmp,4,4
466.bmp,5,5
467.bmp,6,6
468.bmp,9,9
469.bmp,10,10
470.bmp,11,11
471.bmp,12,12
472.bmp,13,13
473.bmp,14,14
474.bmp,15,15
475.bmp,16,16
476.bmp,17,17
477.bmp,19,19
478.bmp,20,20
479.bmp,2,2
480.bmp,3,3
481.bmp,4,4
482.bmp,5,5
483.bmp,6,6
484.bmp,9,9
485.bmp,10,10
486.bmp,11,11
487.bmp,12,12
488.bmp,13,13
489.bmp,14,14
490.bmp,15,15
491.bmp,16,16
492.bmp,17,23
493.bmp,19,19
494.bmp,20,20
495.bmp,2,2
496.bmp,3,3
497.bmp,4,4
498.bmp,5,5
499.bmp,6,6
500.bmp,9,9
501.bmp,10,10
502.bmp,11,11
503.bmp,12,12
504.bmp,13,13
505.bmp,14,14
506.bmp,15,15
507.bmp,16,16
508.bmp,17,23
509.bmp,19,19
510.bmp,20,20
511.bmp,2,2
512.bmp,3,3
513.bmp,4,4
514.bmp,5,5
515.bmp,6,6
516.bmp,9,9
517.bmp,10,10
518.bmp,11,11
519.bmp,12,12
520.bmp,13,13
521.bmp,14,14
522.bmp,15,15
523.bmp,16,16
524.bmp,17,17
525.bmp,19,19
526.bmp,20,20
527.bmp,2,2
528.bmp,3,3
529.bmp,4,4
530.bmp,5,5
531.bmp,6,6
532.bmp,9,9
533.bmp,10,10
534.bmp,11,11
535.bmp,12,12
536.bmp,13,13
537.bmp,14,14
538.bmp,15,15
539.bmp,16,16
540.bmp,17,17
541.bmp,19,19
542.bmp,20,20
543.bmp,2,2
544.bmp,3,3
545.bmp,4,4
546.bmp,5,5
547.bmp,6,6
548.bmp,9,9
549.bmp,10,10
550.bmp,11,11
551.bmp,12,12
552.bmp,13,13
553.bmp,14,14
554.bmp,15,15
555.bmp,16,16
556.bmp,17,17
557.bmp,19,19
558.bmp,20,20
559.bmp,2,2
560.bmp,3,3
561.bmp,4,4
562.bmp,5,5
563.bmp,6,6
564.bmp,9,9
565.bmp,10,10
566.bmp,11,11
567.bmp,12,12
568.bmp,13,13
569.bmp,14,14
570.bmp,15,15
571.bmp,16,16
572.bmp,17,17
573.bmp,19,19
574.bmp,20,20
575.bmp,3,3
576.bmp,4,4
577.bmp,5,5
578.bmp,6,27
579.bmp,9,9
580.bmp,10,10
581.bmp,11,10
582.bmp,12,12
583.bmp,13,13
584.bmp,14,14
585.bmp,15,15
586.bmp,16,16
587.bmp,17,17
588.bmp,19,19
589.bmp,20,20
590.bmp,3,3
591.bmp,4,4
592.bmp,5,5
593.bmp,6,6
594.bmp,9,9
595.bmp,10,10
596.bmp,11,11
597.bmp,12,12
598.bmp,13,13
599.bmp,14,14
600.bmp,15,15
601.bmp,16,16
602.bmp,17,17
603.bmp,19,19
604.bmp,20,20
605.bmp,3,3
606.bmp,4,0
607.bmp,5,5
608.bmp,6,6
609.bmp,9,9
610.bmp,10,10
611.bmp,11,11
612.bmp,12,12
613.bmp,13,13
614.bmp,14,14
615.bmp,15,24
616.bmp,16,22
617.bmp,17,17
618.bmp,19,19
619.bmp,20,20
620.bmp,3,3
621.bmp,4,4
622.bmp,5,5
623.bmp,6,6
624.bmp,9,9
625.bmp,10,10
626.bmp,11,11
627.bmp,12,12
628.bmp,13,13
629.bmp,14,14
630.bmp,15,15
631.bmp,16,16
632.bmp,17,17
633.bmp,19,19
634.bmp,20,20
635.bmp,3,3
636.bmp,4,4
637.bmp,5,5
638.bmp,6,6
639.bmp,9,9
640.bmp,10,10
641.bmp,11,11
642.bmp,12,12
643.bmp,13,13
644.bmp,14,14
645.bmp,15,15
646.bmp,16,16
647.bmp,17,17
648.bmp,19,19
649.bmp,20,20
650.bmp,3,3
651.bmp,4,4
652.bmp,5,5
653.bmp,6,6
654.bmp,9,9
655.bmp,10,10
656.bmp,11,11
657.bmp,12,12
658.bmp,13,13
659.bmp,14,14
660.bmp,15,15
661.bmp,16,16
662.bmp,17,17
663.bmp,19,19
664.bmp,20,20
665.bmp,3,3
666.bmp,4,4
667.bmp,5,5
668.bmp,6,6
669.bmp,9,9
670.bmp,10,10
671.bmp,11,11
672.bmp,12,12
673.bmp,13,13
674.bmp,14,14
675.bmp,15,15
676.bmp,16,16
677.bmp,17,17
678.bmp,19,19
679.bmp,20,20
680.bmp,3,3
681.bmp,4,4
682.bmp,5,5
683.bmp,6,6
684.bmp,9,9
685.bmp,10,10
686.bmp,11,11
687.bmp,12,12
688.bmp,13,13
689.bmp,14,14
690.bmp,15,15
691.bmp,16,16
692.bmp,17,17
693.bmp,18,18
694.bmp,19,19
695.bmp,20,20
696.bmp,3,3
697.bmp,4,4
698.bmp,5,5
699.bmp,6,6
700.bmp,9,9
701.bmp,10,10
702.bmp,11,11
703.bmp,12,12
704.bmp,13,13
705.bmp,14,14
706.bmp,15,15
707.bmp,16,16
708.bmp,17,17
709.bmp,18,18
710.bmp,19,19
711.bmp,20,20
712.bmp,3,3
713.bmp,4,4
714.bmp,5,5
715.bmp,6,6
716.bmp,9,9
717.bmp,10,10
718.bmp,11,11
719.bmp,12,12
720.bmp,13,13
721.bmp,14,14
722.bmp,15,15
723.bmp,16,16
724.bmp,17,17
725.bmp,18,18
726.bmp,19,19
727.bmp,20,20
728.bmp,3,3
729.bmp,4,4
730.bmp,5,5
731.bmp,6,6
732.bmp,9,9
733.bmp,10,11
734.bmp,11,11
735.bmp,12,12
736.bmp,13,13
737.bmp,14,14
738.bmp,15,15
739.bmp,16,52
740.bmp,17,17
741.bmp,18,155
742.bmp,19,19
743.bmp,20,20
744.bmp,3,3
745.bmp,4,4
746.bmp,5,5
747.bmp,6,6
748.bmp,9,9
749.bmp,10,10
750.bmp,11,11
751.bmp,12,12
752.bmp,13,13
753.bmp,14,14
754.bmp,15,15
755.bmp,16,16
756.bmp,17,17
757.bmp,18,18
758.bmp,19,19
759.bmp,20,20
760.bmp,3,3
761.bmp,4,4
762.bmp,5,5
763.bmp,6,6
764.bmp,9,9
765.bmp,10,10
766.bmp,11,11
767.bmp,12,12
768.bmp,13,13
769.bmp,14,20
770.bmp,15,15
771.bmp,16,16
772.bmp,17,23
773.bmp,18,18
774.bmp,19,19
775.bmp,20,20
776.bmp,3,3
777.bmp,4,4
778.bmp,5,5
779.bmp,6,6
780.bmp,9,9
781.bmp,10,10
782.bmp,11,11
783.bmp,12,12
784.bmp,13,13
785.bmp,14,14
786.bmp,15,15
787.bmp,16,16
788.bmp,17,14
789.bmp,18,18
790.bmp,19,19
791.bmp,20,20
792.bmp,3,3
793.bmp,4,4
794.bmp,5,5
795.bmp,6,6
796.bmp,9,9
797.bmp,10,10
798.bmp,11,11
799.bmp,12,12
800.bmp,13,13
801.bmp,14,14
802.bmp,15,15
803.bmp,16,16
804.bmp,17,14
805.bmp,18,18
806.bmp,19,19
807.bmp,20,20
808.bmp,3,3
809.bmp,4,4
810.bmp,5,5
811.bmp,6,6
812.bmp,9,9
813.bmp,10,10
814.bmp,11,11
815.bmp,12,12
816.bmp,13,13
817.bmp,14,14
818.bmp,15,15
819.bmp,16,16
820.bmp,17,17
821.bmp,18,18
822.bmp,19,19
823.bmp,20,20
824.bmp,3,3
825.bmp,4,4
826.bmp,5,5
827.bmp,6,6
828.bmp,9,9
829.bmp,10,10
830.bmp,11,11
831.bmp,12,12
832.bmp,13,13
833.bmp,14,14
834.bmp,15,15
835.bmp,16,16
836.bmp,17,17
837.bmp,18,18
838.bmp,19,19
839.bmp,20,20
840.bmp,3,16
841.bmp,4,4
842.bmp,5,5
843.bmp,6,6
844.bmp,9,9
845.bmp,10,11
846.bmp,11,11
847.bmp,12,12
848.bmp,13,13
849.bmp,14,14
850.bmp,15,15
851.bmp,16,16
852.bmp,17,17
853.bmp,18,18
854.bmp,19,19
855.bmp,20,20
856.bmp,3,3
857.bmp,4,4
858.bmp,5,5
859.bmp,6,6
860.bmp,9,9
861.bmp,10,10
862.bmp,11,11
863.bmp,12,12
864.bmp,13,13
865.bmp,14,14
866.bmp,15,15
867.bmp,16,16
868.bmp,17,17
869.bmp,18,18
870.bmp,19,19
871.bmp,20,20
872.bmp,3,3
873.bmp,4,4
874.bmp,5,5
875.bmp,6,6
876.bmp,9,9
877.bmp,10,10
878.bmp,11,11
879.bmp,12,12
880.bmp,13,13
881.bmp,14,14
882.bmp,15,15
883.bmp,16,16
884.bmp,17,17
885.bmp,18,18
886.bmp,19,19
887.bmp,20,20
888.bmp,3,3
889.bmp,4,4
890.bmp,5,5
891.bmp,6,6
892.bmp,9,9
893.bmp,10,10
894.bmp,11,10
895.bmp,12,12
896.bmp,13,13
897.bmp,14,14
898.bmp,15,15
899.bmp,16,16
900.bmp,17,17
901.bmp,18,18
902.bmp,19,19
903.bmp,20,20
904.bmp,3,3
905.bmp,4,4
906.bmp,5,5
907.bmp,6,6
908.bmp,9,9
909.bmp,10,10
910.bmp,11,11
911.bmp,12,12
912.bmp,13,13
913.bmp,14,14
914.bmp,15,15
915.bmp,16,16
916.bmp,17,17
917.bmp,18,18
918.bmp,19,19
919.bmp,20,20
920.bmp,3,3
921.bmp,4,4
922.bmp,5,5
923.bmp,6,6
924.bmp,9,9
925.bmp,10,10
926.bmp,11,11
927.bmp,12,12
928.bmp,13,13
929.bmp,14,14
930.bmp,15,15
931.bmp,16,16
932.bmp,17,17
933.bmp,18,18
934.bmp,19,19
935.bmp,20,20
936.bmp,3,3
937.bmp,4,4
938.bmp,5,5
939.bmp,6,6
940.bmp,9,9
941.bmp,10,10
942.bmp,11,11
943.bmp,12,12
944.bmp,13,13
945.bmp,14,14
946.bmp,15,15
947.bmp,16,16
948.bmp,17,14
949.bmp,18,18
950.bmp,19,19
951.bmp,20,20
952.bmp,3,3
953.bmp,4,4
954.bmp,5,5
955.bmp,6,6
956.bmp,9,9
957.bmp,10,10
958.bmp,11,11
959.bmp,12,12
960.bmp,13,13
961.bmp,14,14
962.bmp,15,15
963.bmp,16,17
964.bmp,17,17
965.bmp,18,84
966.bmp,19,19
967.bmp,20,20
968.bmp,3,3
969.bmp,4,4
970.bmp,5,5
971.bmp,6,6
972.bmp,9,9
973.bmp,10,10
974.bmp,11,11
975.bmp,12,12
976.bmp,13,13
977.bmp,14,14
978.bmp,15,15
979.bmp,16,16
980.bmp,17,17
981.bmp,18,18
982.bmp,19,19
983.bmp,20,20
984.bmp,3,3
985.bmp,4,4
986.bmp,5,5
987.bmp,6,6
988.bmp,9,9
989.bmp,10,10
990.bmp,11,11
991.bmp,12,12
992.bmp,13,13
993.bmp,14,14
994.bmp,15,15
995.bmp,16,16
996.bmp,17,17
997.bmp,18,18
998.bmp,19,19
999.bmp,20,20
1000.bmp,3,3
1001.bmp,4,4
1002.bmp,5,5
1003.bmp,6,6
1004.bmp,9,9
1005.bmp,10,10
1006.bmp,11,11
1007.bmp,12,12
1008.bmp,13,13
1009.bmp,14,14
1010.bmp,15,15
1011.bmp,16,16
1012.bmp,17,17
1013.bmp,18,18
1014.bmp,19,19
1015.bmp,20,20
1016.bmp,3,3
1017.bmp,4,4
1018.bmp,5,5
1019.bmp,6,6
1020.bmp,9,9
1021.bmp,10,10
1022.bmp,11,11
1023.bmp,12,12
1024.bmp,13,13
1025.bmp,14,16
1026.bmp,15,15
1027.bmp,16,16
1028.bmp,17,17
1029.bmp,18,18
1030.bmp,19,19
1031.bmp,20,20
1032.bmp,3,3
1033.bmp,4,4
1034.bmp,5,5
1035.bmp,6,6
1036.bmp,9,9
1037.bmp,10,10
1038.bmp,11,11
1039.bmp,12,12
1040.bmp,13,13
1041.bmp,14,14
1042.bmp,15,15
1043.bmp,16,16
1044.bmp,17,17
1045.bmp,18,18
1046.bmp,19,19
1047.bmp,20,20
1048.bmp,3,3
1049.bmp,4,4
1050.bmp,5,5
1051.bmp,6,6
1052.bmp,9,9
1053.bmp,10,10
1054.bmp,11,11
1055.bmp,12,12
1056.bmp,13,13
1057.bmp,14,14
1058.bmp,15,15
1059.bmp,16,16
1060.bmp,17,17
1061.bmp,18,18
1062.bmp,19,19
1063.bmp,20,20
1064.bmp,3,3
1065.bmp,4,4
1066.bmp,5,5
1067.bmp,6,6
1068.bmp,9,9
1069.bmp,10,10
1070.bmp,11,11
1071.bmp,12,12
1072.bmp,13,13
1073.bmp,14,14
1074.bmp,15,15
1075.bmp,16,16
1076.bmp,17,17
1077.bmp,18,18
1078.bmp,19,19
1079.bmp,20,20
1080.bmp,3,3
1081.bmp,4,4
1082.bmp,5,5
1083.bmp,6,6
1084.bmp,9,9
1085.bmp,10,11
1086.bmp,11,11
1087.bmp,12,12
1088.bmp,13,13
1089.bmp,14,14
1090.bmp,15,15
1091.bmp,16,16
1092.bmp,17,17
1093.bmp,18,25
1094.bmp,19,19
1095.bmp,20,20
1096.bmp,3,3
1097.bmp,4,4
1098.bmp,5,5
1099.bmp,6,6
1100.bmp,9,9
1101.bmp,10,10
1102.bmp,11,11
1103.bmp,12,12
1104.bmp,13,13
1105.bmp,14,14
1106.bmp,15,15
1107.bmp,16,16
1108.bmp,17,17
1109.bmp,18,18
1110.bmp,19,19
1111.bmp,20,20
1112.bmp,3,3
1113.bmp,4,4
1114.bmp,5,5
1115.bmp,6,6
1116.bmp,9,9
1117.bmp,10,10
1118.bmp,11,11
1119.bmp,12,12
1120.bmp,13,13
1121.bmp,14,14
1122.bmp,15,15
1123.bmp,16,16
1124.bmp,17,17
1125.bmp,18,18
1126.bmp,19,19
1127.bmp,20,20
1128.bmp,3,16
1129.bmp,4,4
1130.bmp,5,5
1131.bmp,6,6
1132.bmp,9,9
1133.bmp,10,11
1134.bmp,11,11
1135.bmp,12,12
1136.bmp,13,13
1137.bmp,14,14
1138.bmp,15,15
1139.bmp,16,16
1140.bmp,17,17
1141.bmp,18,18
1142.bmp,19,19
1143.bmp,20,20
1144.bmp,3,1
1145.bmp,4,4
1146.bmp,5,5
1147.bmp,6,6
1148.bmp,9,9
1149.bmp,10,10
1150.bmp,11,11
1151.bmp,12,12
1152.bmp,13,13
1153.bmp,14,14
1154.bmp,15,15
1155.bmp,16,16
1156.bmp,17,17
1157.bmp,18,18
1158.bmp,19,19
1159.bmp,20,20
1160.bmp,3,16
1161.bmp,4,4
1162.bmp,5,5
1163.bmp,6,6
1164.bmp,9,9
1165.bmp,10,10
1166.bmp,11,11
1167.bmp,12,12
1168.bmp,13,13
1169.bmp,14,14
1170.bmp,15,15
1171.bmp,16,22
1172.bmp,17,17
1173.bmp,18,18
1174.bmp,19,19
1175.bmp,20,20
1176.bmp,3,3
1177.bmp,4,0
1178.bmp,5,5
1179.bmp,6,6
1180.bmp,9,9
1181.bmp,10,10
1182.bmp,11,11
1183.bmp,12,12
1184.bmp,13,13
1185.bmp,14,14
1186.bmp,15,15
1187.bmp,16,16
1188.bmp,17,17
1189.bmp,18,18
1190.bmp,19,19
1191.bmp,20,20
1192.bmp,3,3
1193.bmp,4,4
1194.bmp,5,5
1195.bmp,6,6
1196.bmp,9,9
1197.bmp,10,10
1198.bmp,11,11
1199.bmp,12,12
1200.bmp,13,13
1201.bmp,14,14
1202.bmp,15,15
1203.bmp,16,16
1204.bmp,17,17
1205.bmp,18,18
1206.bmp,19,19
1207.bmp,20,20
1208.bmp,3,3
1209.bmp,4,4
1210.bmp,5,5
1211.bmp,6,6
1212.bmp,9,9
1213.bmp,10,10
1214.bmp,11,72
1215.bmp,12,12
1216.bmp,13,13
1217.bmp,14,14
1218.bmp,15,15
1219.bmp,16,16
1220.bmp,17,17
1221.bmp,18,18
1222.bmp,19,19
1223.bmp,20,20
1224.bmp,3,3
1225.bmp,4,4
1226.bmp,5,5
1227.bmp,6,6
1228.bmp,9,9
1229.bmp,10,10
1230.bmp,11,11
1231.bmp,12,12
1232.bmp,13,13
1233.bmp,14,14
1234.bmp,15,15
1235.bmp,16,17
1236.bmp,17,17
1237.bmp,18,42
1238.bmp,19,19
1239.bmp,20,20
1240.bmp,0,0
1241.bmp,81,81
1242.bmp,82,82
1243.bmp,83,83
1244.bmp,84,84
1245.bmp,85,85
1246.bmp,86,86
1247.bmp,87,87
1248.bmp,88,76
1249.bmp,89,89
1250.bmp,90,90
1251.bmp,91,91
1252.bmp,92,92
1253.bmp,93,93
1254.bmp,94,94
1255.bmp,95,95
1256.bmp,96,96
1257.bmp,97,97
1258.bmp,98,80
1259.bmp,99,99
1260.bmp,100,100
1261.bmp,101,101
1262.bmp,102,102
1263.bmp,103,103
1264.bmp,104,104
1265.bmp,105,105
1266.bmp,106,106
1267.bmp,107,107
1268.bmp,108,108
1269.bmp,109,109
1270.bmp,110,110
1271.bmp,111,111
1272.bmp,112,112
1273.bmp,113,113
1274.bmp,114,114
1275.bmp,115,114
1276.bmp,116,116
1277.bmp,117,117
1278.bmp,118,118
1279.bmp,119,119
1280.bmp,120,120
1281.bmp,121,121
1282.bmp,122,122
1283.bmp,123,123
1284.bmp,124,124
1285.bmp,125,125
1286.bmp,126,126
1287.bmp,127,127
1288.bmp,128,152
1289.bmp,129,129
1290.bmp,130,129
1291.bmp,131,131
1292.bmp,132,132
1293.bmp,133,133
1294.bmp,134,134
1295.bmp,135,135
1296.bmp,136,135
1297.bmp,137,137
1298.bmp,138,138
1299.bmp,139,139
1300.bmp,140,140
1301.bmp,141,141
1302.bmp,142,142
1303.bmp,143,143
1304.bmp,144,144
1305.bmp,145,91
1306.bmp,146,146
1307.bmp,147,147
1308.bmp,148,148
1309.bmp,149,149
1310.bmp,150,150
1311.bmp,151,151
1312.bmp,152,128
1313.bmp,153,153
1314.bmp,154,73
1315.bmp,155,155
1316.bmp,3,3
1317.bmp,4,4
1318.bmp,5,5
1319.bmp,6,6
1320.bmp,9,9
1321.bmp,10,10
1322.bmp,11,11
1323.bmp,12,12
1324.bmp,13,13
1325.bmp,14,14
1326.bmp,15,15
1327.bmp,16,16
1328.bmp,17,17
1329.bmp,18,18
1330.bmp,19,19
1331.bmp,20,20
1332.bmp,0,0
1333.bmp,81,81
1334.bmp,82,82
1335.bmp,83,83
1336.bmp,84,84
1337.bmp,85,85
1338.bmp,86,86
1339.bmp,87,87
1340.bmp,88,88
1341.bmp,89,89
1342.bmp,90,90
1343.bmp,91,91
1344.bmp,92,92
1345.bmp,93,93
1346.bmp,94,94
1347.bmp,95,95
1348.bmp,96,96
1349.bmp,97,97
1350.bmp,98,98
1351.bmp,99,99
1352.bmp,100,100
1353.bmp,101,101
1354.bmp,102,102
1355.bmp,103,103
1356.bmp,104,104
1357.bmp,105,87
1358.bmp,106,106
1359.bmp,107,107
1360.bmp,108,108
